"Nazwa_ogłoszenia","Cena","Cena_za_metr","Liczba_pokoi","Powierzchnia","Osiedle","Dzielnica","Forma_własności","Stan","Piętro","Balkon_taras_ogródek","Czynsz","Miejsce_parkingowe","Ogrzewanie","Rynek","Typ_ogłoszeniodawcy","Rok_budowy","Rodzaj_zabudowy","Okna","Winda","Zabezpieczenia","Informacje_dodatkowe"
"2 pokoje z balkonem i garażem przy metrze Stokłosy",915000,17512,2,52.25,"Ursynów Północny","Ursynów","pełna własność","do zamieszkania","1/3","balkon","810 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2016,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka"
"Mieszkanie 3 pokojowe na Pradze południe",845000,14250,3,59.3,"Gocław","Praga-Południe","pełna własność","do zamieszkania","6/12","balkon","700 zł",NA,"miejskie","wtórny","biuro nieruchomości",1981,"blok",NA,"nie",NA,"wielka płyta"
"Sprzedam Apartament Fort Piłsudskiego",1.5e+07,44643,5,336,"Stegny","Mokotów","pełna własność","do wykończenia","2/2","balkon, taras",NA,"garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2019,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","klimatyzacja, pom. użytkowe"
"Rodzinne 4 pokoje na Ursusie",995000,12391,4,80.3,"Skorosze","Ursus","pełna własność","do zamieszkania","1/7","balkon","700 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2006,"blok",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","inny"
"Wyjątkowo ustawne i funkcjonalne 3 pokoje",790000,13167,3,60,"Grochów","Praga-Południe","spółdzielcze wł. prawo do lokalu","do remontu","2/4","balkon","800 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1966,"blok",NA,"nie","domofon / wideofon, monitoring / ochrona","beton"
"Kamienica z 1913 r. | Do remontu | Winda",1050000,14583,3,72,"Stara Praga","Praga-Północ","pełna własność","do remontu","4/4",NA,"1 085 zł",NA,NA,"wtórny","biuro nieruchomości",1913,"kamienica",NA,"tak","domofon / wideofon","cegła"
"2-pokojowe mieszkanie 55m2 + taras Bez Prowizji",1080000,19611,2,55.07,"Ksawerów","Mokotów","pełna własność","do wykończenia","1/8","taras",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"Gotowe do zamieszkania wysoki standard po remoncie",810000,14387,2,56.3,"Grochów","Praga-Południe","pełna własność","do zamieszkania","2/4","balkon","780 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2001,"blok",NA,"nie","drzwi / okna antywłamaniowe, domofon / wideofon","cegła"
"5-pokojowe mieszkanie 134m2 + 2 loggie",3259200,24270,5,134.29,"Stara Ochota","Ochota","pełna własność","do wykończenia","4/5",NA,NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}5"
"W KAMIENICY 73m2,balkon-Serce Starego Mokotowa",1606000,22000,3,73,"Stary Mokotów","Mokotów","pełna własność","do zamieszkania","1/3","balkon, ogródek","600 zł","garaż/miejsce parkingowe","gazowe","wtórny","biuro nieruchomości",1936,"kamienica",NA,"nie","teren zamknięty, domofon / wideofon","cegła"
"Luksusowy apartament z widokiem - Point House",1160000,18259,2,63.53,"Służew","Mokotów","pełna własność","do zamieszkania","10/15",NA,NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2011,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, monitoring / ochrona","cegła"
"Na sprzedaż kawalerka przy Ul. Grzybowskiej",749000,27741,1,27,"Mirów","Wola","pełna własność",NA,"> 10/15",NA,"600 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",1970,"blok",NA,"nie","domofon / wideofon","plastikowe"
"Mieszkanie z dobrym rozkładem do własnej aranżacji",1085000,14166,3,76.59,"Marymont-Potok","Żoliborz",NA,"do remontu","1/13","balkon",NA,NA,"miejskie","wtórny","biuro nieruchomości",1984,"blok",NA,"tak",NA,"inny"
"Wysoki standard pod klucz Gotowe | Ursus Centralny",740000,18049,2,41,"Szamoty","Ursus","pełna własność","do zamieszkania","4/6","balkon",NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2023,"apartamentowiec",NA,"tak","domofon / wideofon, monitoring / ochrona","pustak"
"Bezpo/ Stary Mokotów/ 2 pok/ 2,80H/ ul.Wiktorska",999000,17588,2,56.8,"Wierzbno","Mokotów","spółdzielcze wł. prawo do lokalu","do remontu","3/4","balkon","700 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",1960,NA,NA,"nie","domofon / wideofon","cegła"
"3-pokoje 59,7m2 | Wola | Metro",799000,13384,3,59.7,"Koło","Wola","pełna własność","do remontu","1/4","balkon","950 zł",NA,"miejskie","wtórny","biuro nieruchomości",NA,"blok",NA,"nie","domofon / wideofon, monitoring / ochrona","żelbet"
"Mieszkanie, 49,06 m², Warszawa",820000,16714,3,49.06,"Nowe Włochy","Włochy","pełna własność","do zamieszkania","parter/6","balkon, taras","780 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2017,"blok",NA,"tak",NA,"cegła"
"Loft Garden Wesoła - ETAP II",1149500,11774,4,97.63,"Zielona-Grzybowa","Wesoła",NA,NA,NA,NA,"80 zł","garaż/miejsce parkingowe",NA,"pierwotny","deweloper",2025,NA,NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","cegła"
"Kellera Park Residence",3120000,26274,4,118.75,"Sady Żoliborskie","Żoliborz",NA,NA,"parter/6",NA,NA,NA,NA,"wtórny","biuro nieruchomości",2017,NA,NA,"tak",NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}4"
"Metro 300m| Widok który zachwyca| Sprawdź |",1299000,13968,4,93,"Młynów","Wola","pełna własność","do zamieszkania","10/10",NA,NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2014,"blok",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","klimatyzacja, dwupoziomowe"
"Twoje Nowe Miejsce|Okna na 3 Strony Świata|Sprawdź",820000,12538,3,65.4,"Gocław","Praga-Południe","pełna własność","do zamieszkania","3/3","balkon",NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1988,"blok",NA,"nie",NA,"inny"
"Bezpośrednio: Funkcjonalna Kawalerka + garaż, 350m",650730,19900,1,32.7,"Ksawerów","Mokotów","pełna własność","do zamieszkania","8/14","balkon","598 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2008,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","beton"
"Apartament w szeregówce stan deweloperski",1524000,12000,5,127,"Falenica","Wawer","pełna własność","do zamieszkania","parter/2",NA,NA,NA,NA,"wtórny","biuro nieruchomości",2023,NA,NA,"nie",NA,"plastikowe"
"2-pokojowe mieszkanie 41 m2 Sarmacka",885000,21470,2,41.22,"Błonia Wilanowskie","Wilanów","pełna własność","do zamieszkania","3/4","balkon","650 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2018,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","żelbet"
"Ciche, 2 pok w stanie do zamieszkania. Ulrychów",770000,18255,2,42.18,"Ulrychów","Wola","spółdzielcze wł. prawo do lokalu","do zamieszkania","parter/5","balkon","550 zł",NA,"miejskie","wtórny","biuro nieruchomości",2000,"blok",NA,"tak","system alarmowy, teren zamknięty, domofon / wideofon","cegła"
"Nieszablonowe trzypokojowe mieszkanie na Kabatach",1280000,18774,3,68.18,"Kabaty","Ursynów","pełna własność","do zamieszkania","5/5","balkon","1 100 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2000,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Kawalerka*Warszawa*Wola*ul. Miła",515000,19508,1,26.4,"Śródmieście Północne","Śródmieście","spółdzielcze wł. prawo do lokalu","do zamieszkania","5/10",NA,"400 zł",NA,"miejskie","wtórny","biuro nieruchomości",1967,"blok",NA,"nie",NA,"wielka płyta"
"BEZPOŚREDNIO 3pok., dwustronne, po remoncie",799000,17332,3,46.1,"Sielce","Mokotów","pełna własność","do zamieszkania","2/4","balkon","822 zł",NA,"miejskie","wtórny","prywatny",1965,"blok",NA,"nie","domofon / wideofon, monitoring / ochrona","inny"
"REZERWACJA 2 pok kamienica",525500,16325,2,32.19,"Śródmieście Północne","Śródmieście","pełna własność","do remontu","1/6",NA,"600 zł",NA,"miejskie","wtórny","prywatny",1935,"kamienica",NA,"nie","teren zamknięty, domofon / wideofon","cegła"
"Przytulne dwupokojowe mieszkanie na Ursynowie",795000,17134,2,46.4,"Ursynów-Centrum","Ursynów","pełna własność","do zamieszkania","4/11","balkon","711 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2008,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","pustak"
"2-pokojowe mieszkanie 38m2 + balkon Bezpośrednio",494328,12900,2,38.32,"Kawęczyn-Wygoda","Rembertów","pełna własność","do wykończenia","3/5","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"3-pokojowe mieszkanie 55m2 + balkon Bez Prowizji",648414,11700,3,55.42,"Kawęczyn-Wygoda","Rembertów","pełna własność","do wykończenia","5/5","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"Mieszkanie 80 m2, dwa miejsca postojowe Forty Bema",1300000,16250,4,80,"Fort Bema","Bemowo",NA,"do zamieszkania","parter/5","balkon, taras","1 300 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2006,"blok",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka"
"Bezpośrednio mieszkanie blisko metra Bródno",650000,14009,2,46.4,"Bródno","Targówek","spółdzielcze wł. prawo do lokalu","do zamieszkania","4/10","balkon",NA,NA,"miejskie","wtórny","prywatny",1980,"blok",NA,"tak","domofon / wideofon","wielka płyta"
"Mieszkanie na Winorośli 118m z tarasami penthouse.",2100000,17797,4,118,"Nowodwory","Białołęka","pełna własność","do wykończenia",NA,"balkon, taras",NA,"garaż/miejsce parkingowe",NA,"pierwotny","prywatny",2021,"apartamentowiec",NA,"tak",NA,"dwupoziomowe, pom. użytkowe"
"Stary Żoliborz ul. Dymińska Metro Dworzec Gdański",665000,18071,2,36.8,"Stary Żoliborz","Żoliborz","pełna własność","do remontu","3/10",NA,"700 zł",NA,"miejskie","wtórny","prywatny",NA,"blok",NA,"tak","domofon / wideofon","wielka płyta"
"Duża kawalerka w fantastycznej lokalizacji! Okazja",549000,18997,1,28.9,"Nowolipki","Wola","pełna własność",NA,"2/10",NA,"400 zł",NA,"miejskie","wtórny","biuro nieruchomości",1964,NA,NA,"tak",NA,"1"
"Penthouse. 3 tarasy. Bez prowizji",3800000,20106,5,189,"Śródmieście Północne","Śródmieście","pełna własność","do wykończenia","4/4","taras","2 000 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",NA,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","oddzielna kuchnia"
"Wyłaczność! Idealne 3 Pokoje Praga Południe",1290000,10531,3,122.5,"Grochów","Praga-Południe","pełna własność",NA,"2/4","balkon","1 200 zł",NA,NA,"wtórny","biuro nieruchomości",2000,NA,NA,"nie","domofon / wideofon","cegła"
"Mieszkanie na Bielanach 73 m2",820000,11233,4,73,"Chomiczówka","Bielany",NA,"do remontu","8/10","balkon","900 zł",NA,"miejskie","wtórny","biuro nieruchomości",1976,"blok",NA,"tak",NA,"wielka płyta"
"2pok. Plac Zbawiciela, Łazienki Królewskie, Metro",729000,20256,2,35.99,"Śródmieście Południowe","Śródmieście","pełna własność","do zamieszkania","6/6",NA,"570 zł",NA,"miejskie","wtórny","biuro nieruchomości",1971,"blok",NA,"tak",NA,"piwnica, oddzielna kuchnia, pom. użytkowe"
"dostępne od zaraz w atrakcyjnej cenie",585000,12188,3,48,"Bródno","Targówek","pełna własność","do remontu","1/4","balkon",NA,NA,"miejskie","wtórny","biuro nieruchomości",1975,"blok",NA,"nie","domofon / wideofon","wielka płyta"
"Po Remoncie/ Wysokie/ Dwustronne /Kamienica/ Centr",1496000,22000,2,68,"Śródmieście Południowe","Śródmieście","pełna własność","do zamieszkania","2/6",NA,NA,NA,"miejskie","wtórny","biuro nieruchomości",1955,"kamienica",NA,"tak","teren zamknięty, domofon / wideofon","cegła"
"Wyjatkowe//Wysokie//Blisko Metra//Plac Zbawiciela",2199000,25871,3,85,"Śródmieście Południowe","Śródmieście",NA,NA,"5/5",NA,NA,NA,"miejskie","wtórny","biuro nieruchomości",1954,"kamienica",NA,"tak",NA,"cegła"
"Dwupokojowe mieszkanie- 600m do metra Bemowo",560000,19310,2,29,"Górce","Bemowo",NA,"do zamieszkania","2/7","balkon","500 zł",NA,NA,"wtórny","prywatny",NA,"blok",NA,"tak","domofon / wideofon","piwnica"
"Rondo Daszyńskiego,3 pokoje, widok,wysoki standard",1284000,22965,3,55.91,"Czyste","Wola","pełna własność","do wykończenia","4/8","balkon, taras","520 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2023,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Kameralna zabudowa/42 m2/2 pokoje/2 Loggie",627000,14929,2,42,"Bródno","Targówek","pełna własność","do zamieszkania","parter/1",NA,NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",1997,"blok",NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Mieszkanie w kamienicy",930000,12036,3,77.27,"Stary Żoliborz","Żoliborz",NA,NA,"4/4",NA,"650 zł",NA,NA,"wtórny","biuro nieruchomości",1938,"kamienica",NA,"nie",NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"Mieszkanie 3-4 pokojowe z tarasem |M12/1 piętro",760000,9257,4,82.1,"Nadwiśle","Wawer","pełna własność","do wykończenia","1/1","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}4"
"Mieszkanie przy Wim||Wykończone| 3m wys.|Klima",812000,14000,3,58,"Grochów","Praga-Południe",NA,"do zamieszkania","3/3",NA,"550 zł",NA,NA,"wtórny","biuro nieruchomości",1958,"blok",NA,"nie",NA,"klimatyzacja"
"Warszawa Mokotów 2 pokoje garaż taras sauna sklepy",821000,22806,2,36,"Służewiec","Mokotów","pełna własność","do wykończenia",NA,"balkon, taras","350 zł","garaż/miejsce parkingowe","miejskie","pierwotny","prywatny",2023,"apartamentowiec",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Nowe M3 w ładnym i zadbanym osiedlu w Ursusie",1040000,13867,3,75,"Skorosze","Ursus","pełna własność","do zamieszkania","6/7",NA,"796 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2011,"blok",NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Atrakcyjne 4 pokoje na Bielanach",799000,12292,4,65,"Wrzeciono","Bielany",NA,"do zamieszkania","4/4",NA,"950 zł",NA,"miejskie","wtórny","biuro nieruchomości",1967,"blok",NA,"nie","monitoring / ochrona","żelbet"
"Warszawa Mokotów 2 pokoje wysoki standard nowe lux",957000,22256,2,43,"Służewiec","Mokotów","pełna własność","do wykończenia",NA,"balkon, taras","400 zł","garaż/miejsce parkingowe","miejskie","pierwotny","prywatny",2023,"apartamentowiec",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Apartament w sercu Saskiej Kępy - 130 m2",2480000,19077,2,130,"Saska Kępa","Praga-Południe",NA,"do zamieszkania","2/6","balkon",NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2006,"blok",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Super lokalizacja| Cisza i spokój|",1239000,18604,3,66.6,"Służewiec","Mokotów","pełna własność","do zamieszkania","2/9",NA,"850 zł",NA,"miejskie","wtórny","biuro nieruchomości",2017,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","inny"
"Mieszkanie na Grochowie, wysoki standard",990000,16903,3,58.57,"Grochów","Praga-Południe","pełna własność","do zamieszkania","2/5","balkon","720 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2017,"blok",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Apartament*4pok*102mkw*Włochy",1930000,18953,4,101.83,"Salomea","Włochy","pełna własność",NA,"parter/5","ogródek, taras","1 100 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2019,"blok",NA,"tak","monitoring / ochrona","cegła"
"3pok*49mkw*Wola*po generalnym remoncie",777000,15857,3,49,"Ulrychów","Wola","pełna własność","do zamieszkania","parter/3",NA,"760 zł",NA,"miejskie","wtórny","biuro nieruchomości",NA,"blok",NA,"nie",NA,"piwnica, pom. użytkowe"
"Mieszkanie 4 pokojowe, Parter, Ogródek, Ursus",802000,13593,4,59,"Niedźwiadek","Ursus","spółdzielcze wł. prawo do lokalu","do zamieszkania","parter/4","balkon, ogródek","800 zł",NA,"miejskie","wtórny","prywatny",1976,"blok",NA,"nie","domofon / wideofon, monitoring / ochrona","wielka płyta"
"3 pokojowe mieszkanie przy Metrze Płocka!",1599000,23174,3,69,"Czyste","Wola",NA,"do wykończenia",NA,"balkon",NA,"garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2023,"apartamentowiec",NA,"nie","teren zamknięty, domofon / wideofon, monitoring / ochrona","1"
"3-pokoje, 55m2, metro Chrzanów, bezpośrednio !!!",1089000,19800,3,55,"Chrzanów","Bemowo","pełna własność","do zamieszkania","3/4","balkon","1 000 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2016,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","pustak"
"Apartament/dom przy plaży - Villa la Plage",2290000,12480,6,183.49,"Zawady","Wilanów","pełna własność","do wykończenia","parter","ogródek, taras",NA,"garaż/miejsce parkingowe","gazowe",NA,"deweloper",2024,NA,NA,"nie","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","pom. użytkowe"
"RABAT 46000zł, GOTOWE, M3+widna kuchnia",717983,11966,3,60,"Nowodwory","Białołęka","pełna własność","do wykończenia","1/3","balkon","390 zł","garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"3 pokojowe z romantycznym ogródkiem",1290000,17086,2,75.5,"Błonia Wilanowskie","Wilanów",NA,"do zamieszkania","parter/4","taras",NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2008,NA,NA,"tak","system alarmowy, domofon / wideofon","pustak"
